flag,algorithm,param,time(s),memory(KB)
VARN,DFSI,a,0.00,3712
VARN,DFSI,b,0.00,4096
VARN,DFSI,c,0.01,5504
VARN,DFSI,d,0.22,7168
VARN,DFSR,a,0.00,3712
VARN,DFSR,b,0.00,4096
VARN,DFSR,c,0.00,4352
VARN,DFSR,d,0.22,8576
VARN,BFS,a,0.00,3712
VARN,BFS,b,0.00,4096
VARN,BFS,c,0.00,3968
VARN,BFS,d,1.20,18560
VARM,DFSI,100,0.00,3968
VARM,DFSI,200,0.00,3840
VARM,DFSI,300,0.00,3968
VARM,DFSI,400,0.02,5376
VARM,DFSI,500,0.02,5760
VARM,DFSI,600,0.39,13952
VARM,DFSI,700,0.38,16000
VARM,DFSI,800,0.37,15744
VARM,DFSI,900,0.70,22144
VARM,DFSI,1000,0.06,8320
VARM,DFSR,100,0.00,3840
VARM,DFSR,200,0.00,3840
VARM,DFSR,300,0.00,4352
VARM,DFSR,400,0.00,4224
VARM,DFSR,500,0.00,4352
VARM,DFSR,600,0.07,10368
VARM,DFSR,700,0.29,17160
VARM,DFSR,800,0.43,20864
VARM,DFSR,900,0.11,13056
VARM,DFSR,1000,0.00,4608
VARM,BFS,100,0.00,3712
VARM,BFS,200,0.01,4480
VARM,BFS,300,0.03,5888
VARM,BFS,400,0.01,4864
VARM,BFS,500,0.02,6528
VARM,BFS,600,0.11,11264
VARM,BFS,700,0.05,8104
VARM,BFS,800,0.00,3968
VARM,BFS,900,0.07,10240
VARM,BFS,1000,0.40,24832
